Series Name,Series Code,Type,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Country,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6206547590,5621147631,7228795919,7867263256,7978515642,8874480196,9349921886,10642671963,11060395116,13426272073,15354612542,15420077666,17386490239,18360263163,18860496494,19134221645,19566715174,20084646751,20323499020,21118473702,20621957125,16345202563,15325233810,15672648238,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Country,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4872357833,5152305745,5304226467,5362834895,5295713833,5390011642,5693859705,5649001050,5568782995,6116559061,5530859375,3982100298,3695902333,4049208852,4385409261,4969648101,5334237833,4709514660,5100876515,5725771033,6153077236,6698469429,7008501112,7382282997,7771053342,8169772251,8661509310,9224515437,9861658465,10127011191,10428102872,10685000943,10790155230,10974367815,11220218561,11470171827,11918533447,12309839869,12761785703,13025007475,12593390460,13722964212,14385344335,14962975921,15568367221
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Country,Algeria,DZA,27287513102,23574926518,18934192373,25431219790,26916253746,28586918219,27213325105,29785790539,33001535546,35784647536,38956118145,34541720238,44014431054,45692778906,49117415082,51595556464,55922750141,58863496044,64287670492,69094990985,69641260801,71730495901,76321250590,80442600430,84947383263,88090434111,88442796731,87823699342,86945457527,90771059536,91497228539,90399261260,92026450044,90093893897,89283051957,92675803281,96475509799,97536740346,1.02511E+11,1.05791E+11,1.09812E+11,1.13106E+11,1.19214E+11,1.26963E+11,1.32676E+11,1.3984E+11,1.43896E+11,1.48356E+11,1.52065E+11,1.5389E+11,1.61277E+11,1.66115E+11,1.70102E+11,1.74525E+11,1.8168E+11,1.87494E+11,1.94806E+11,1.97728E+11,2.00496E+11,2.02301E+11,1.92186E+11,1.99489E+11,2.0667E+11,2.15144E+11,2.23104E+11
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Country,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,744923664.1,752116030.5,755198473.3,752116030.5,721291603.1,734648855,715126717.6,685329771,687384732.8,687384732.8,657587786.3,641148091.6,652450381.7,673000000,661697709.9,615461068.7,631900763.4,628818320.6,656560305.3,651422900.8,662725190.8,..,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Country,Andorra,AND,..,..,..,..,..,..,..,..,..,..,859122124.2,899066709.8,972338340.7,1048068594,1106957363,1112959349,1149729156,1182365087,1199663090,1200161637,1226669938,1225044913,1240314622,1262269658,1284797216,1314622923,1357391838,1432688021,1505673822,1578353214,1638036866,1679741342,1695349734,1677862467,1717848987,1765218701,1847296757,2014803569,2079172380,2164399297,2240767147,2422703047,2532847903,2753058860,2977038818,3137733300,3288617127,3339695538,3154035639,2986781969,2927794279,2927558014,2781928288,2683236697,2750437435,2789882569,2893378231,2903391400,2949519480,3008968450,2672447226,2893907016,3170698001,3252614722,3362287046
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Country,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25920531977,24780028254,24780028254,25820789795,27370037742,28327988923,29149501095,30339601954,32199082929,32212484658,31101122148,31409446016,29575674380,22482416932,22783538205,26201068942,29749838599,31913924371,33411053302,34139911994,35182758020,36662544314,41672733512,43125991915,48050921278,54852422288,61347946236,69324828859,76802645841,78335311068,82482120583,85446420442,92712034533,97239220009,1.01766E+11,1.02543E+11,1.00799E+11,1.00649E+11,1.0005E+11,99845650843,95809443080,97824078558,1.01948E+11,1.03236E+11,1.07803E+11
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Country,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,387163203.1,404134550.4,436786384.1,472436818.3,490457675.8,490048110.8,516333403.8,568819882.6,612299589.4,682675279.8,727910265,765857188.3,806082316.6,830360010,848435719.9,858265278.5,903580714,963907436,921883147.4,982773021.1,1036543047,1085584792,1125835518,1195677312,1141296595,1153020391,1223085251,1293621842,1377366903,1552404720,1697014056,1696776362,1493793051,1376672105,1349706642,1395234173,1386849062,1417336053,1437485185,1496714858,1537316640,1640501408,1692541753,1373179832,1485407940,1620696017,1660036193,1720733551
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Country,Argentina,ARG,1.50798E+11,1.58983E+11,1.57628E+11,1.49261E+11,1.64382E+11,1.81756E+11,1.80557E+11,1.8632E+11,1.95305E+11,2.1421E+11,2.20734E+11,2.33224E+11,2.37021E+11,2.43686E+11,2.57171E+11,2.57098E+11,2.51909E+11,2.69377E+11,2.57238E+11,2.83535E+11,2.87842E+11,2.72903E+11,2.70896E+11,2.82677E+11,2.87117E+11,2.72219E+11,2.88969E+11,2.96785E+11,2.93551E+11,2.72541E+11,2.65817E+11,2.90095E+11,3.1312E+11,3.38818E+11,3.58592E+11,3.48389E+11,3.67644E+11,3.97464E+11,4.12767E+11,3.98793E+11,3.95646E+11,3.78203E+11,3.36999E+11,3.6678E+11,3.99899E+11,4.35297E+11,4.70326E+11,5.12691E+11,5.33492E+11,5.01917E+11,5.52738E+11,5.85924E+11,5.7991E+11,5.93859E+11,5.78938E+11,5.94749E+11,5.82377E+11,5.98791E+11,5.83118E+11,5.71451E+11,5.14874E+11,5.68637E+11,6.02873E+11,5.91685E+11,5.83739E+11
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Country,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5839777094,5156523263,3001096397,2736999951,2884798024,3083849042,3264729147,3373153404,3619393602,3738833591,3959424773,4339529551,4912347451,5600076095,6188084085,7048227772,7978593838,9071661194,9697605817,8330243396,8513508751,8913643662,9555426006,9870755064,10226102247,10553337518,10574444193,11367527508,11958638938,12867495498,11941035822,12633615900,14225451503,15406163978,16315127652
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Country,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,967924669.4,1123551773,1333078996,1494779353,1553993568,1677736082,1776426457,1906242253,2062628486,2115166597,2140248000,2291068601,2336706331,2365635733,2545966268,2652438619,2627374308,2656551420,2850313057,2839392434,2871404069,2960117373,3014457880,2662437285,2589660713,2676912524,2649051222,2819423913,2859631679,2962906704,2999478909,3104263601,3203987173,3243239612,2468170539,2831747262,3132944104,3374393790,3604216216
